age= 0 month,,
D_WeekNo,RSV Negative,RSV Positive
201307,29,5
201308,33,2
201309,27,1
201310,44,2
201311,33,
201312,35,1
201313,38,3
201314,31,
201315,23,
201316,32,1
201317,26,1
201318,27,2
201319,18,
201320,26,
201321,26,
201322,32,
201323,26,
201324,28,1
201325,21,
201326,26,
201327,19,
201328,33,
201329,25,
201330,30,1
201331,33,
201332,39,
201333,25,
201334,21,2
201335,20,
201336,16,1
201337,18,
201338,28,1
201339,23,
201340,34,1
201341,26,
201342,29,3
201343,38,3
201344,29,9
201345,49,11
201346,35,14
201347,27,17
201348,39,41
201349,40,40
201350,40,52
201351,41,29
201352,44,29
201401,60,26
201402,46,21
201403,28,7
201404,32,7
201405,25,6
201406,36,3
201407,43,5
201408,60,7
201409,37,3
201410,26,1
201411,32,2
201412,37,
201413,33,1
201414,23,3
201415,32,
201416,25,1
201417,21,
201418,34,
201419,19,1
201420,25,
201421,23,
201422,32,
201423,23,
201424,27,
201425,26,
201426,22,
201427,19,1
201428,21,
201429,22,
201430,20,
201431,18,
201432,21,
201433,23,
201434,19,
201435,24,
201436,17,1
201437,19,
201438,22,2
201439,31,
201440,41,1
201441,30,3
201442,35,1
201443,40,5
201444,30,8
201445,49,9
201446,33,12
201447,25,20
201448,42,24
201449,37,33
201450,44,38
201451,64,35
201452,46,16
201501,58,19
201502,47,9
201503,42,12
201504,39,4
201505,45,1
201506,41,2
201507,30,2
201508,45,1
201509,40,2
201510,46,3
201511,35,
201512,46,
201513,30,
201514,33,
201515,44,1
201516,23,
201517,28,
201518,37,
201519,23,
201520,31,3
201521,37,
201522,29,
201523,20,1
201524,25,
201525,27,
201526,23,
201527,34,
201528,18,
201529,21,
201530,40,
201531,19,
201532,23,
201533,19,1
201534,24,1
201535,14,
201536,21,1
201537,19,
201538,27,
201539,23,
201540,20,
201541,33,1
201542,31,1
201543,24,4
201544,38,8
201545,34,15
201546,45,16
201547,40,30
201548,51,40
201549,42,42
201550,36,44
201551,39,34
201552,33,24
201553,34,19
201601,58,27
201602,50,6
201603,38,4
201604,33,2
201605,38,3
201606,45,3
201607,49,1
201608,29,3
201609,21,1
201610,42,
201611,38,2
201612,36,1
201613,19,
201614,31,
201615,38,1
201616,20,1
201617,34,1
201618,34,
201619,45,1
201620,56,
201621,45,1
201622,39,
201623,27,
201624,44,
201625,42,
201626,22,1
201627,48,1
201628,46,
201629,45,1
201630,44,1
201631,37,1
201632,25,
201633,31,
201634,30,
201635,27,2
201636,37,
201637,29,1
201638,30,2
201639,35,2
201640,38,2
201641,29,3
201642,34,1
201643,41,12
201644,60,12
201645,42,18
201646,41,34
201647,30,32
201648,41,38
201649,47,37
201650,38,20
201651,31,25
201652,40,17
201701,50,11
201702,24,5
201703,33,5
201704,35,6
201705,28,5
201706,35,1
201707,26,1
201708,28,1
201709,32,1
201710,23,
201711,19,
201712,27,
201713,22,
201714,29,
201715,33,
201716,41,1
201717,42,
201718,31,
201719,21,
201720,30,
201721,32,
201722,23,
201723,29,
201724,23,
201725,33,
201726,31,
201727,27,1
201728,37,1
201729,27,
201730,27,1
201731,25,
201732,23,
201733,27,
201734,23,1
201735,19,
201736,21,
201737,21,
201738,19,2
201739,24,2
201740,40,6
201741,38,8
201742,27,8
201743,26,12
201744,28,5
201745,36,12
201746,27,24
201747,39,29
201748,34,30
201749,23,22
,,
age=1 month,,
D_WeekNo,N,P
200930,2,
200931,1,
200945,,1
200947,4,2
200948,6,8
200949,10,7
200950,8,9
200951,13,12
200952,10,12
200953,17,20
201001,16,9
201002,16,15
201003,22,12
201004,22,11
201005,30,10
201006,21,11
201007,22,5
201008,24,5
201009,18,3
201010,30,2
201011,26,2
201012,19,2
201013,31,
201014,26,2
201015,28,
201016,40,
201017,17,
201018,30,
201019,35,
201020,28,1
201021,17,
201022,26,
201023,14,2
201024,17,
201025,19,
201026,18,
201027,19,
201028,19,
201029,27,
201030,13,1
201031,18,
201032,11,
201033,11,1
201034,21,
201035,16,
201036,16,1
201037,24,
201038,22,1
201039,25,3
201040,25,1
201041,30,1
201042,22,5
201043,20,6
201044,25,15
201045,44,16
201046,36,26
201047,43,35
201048,37,38
201049,47,39
201050,47,63
201051,58,61
201052,66,71
201101,71,63
201102,37,41
201103,55,31
201104,64,24
201105,43,39
201106,49,18
201107,37,16
201108,44,17
201109,29,9
201110,38,9
201111,39,7
201112,39,8
201113,22,6
201114,30,2
201115,38,1
201116,29,
201117,29,
201118,22,
201119,28,
201120,34,
201121,30,
201122,31,
201123,21,
201124,14,1
201125,28,1
201126,34,
201127,24,1
201128,25,
201129,25,
201130,27,1
201131,13,1
201132,24,
201133,36,
201134,26,
201135,20,
201136,24,
201137,7,
201138,5,
201139,7,
201140,7,
201141,12,
201142,18,5
201143,37,
201144,24,4
201145,26,10
201146,34,15
201147,17,28
201148,28,34
201149,36,46
201150,27,51
201151,38,47
201152,36,46
201201,26,59
201202,35,23
201203,30,14
201204,28,13
201205,50,17
201206,36,9
201207,41,16
201208,33,8
201209,14,5
201210,35,1
201211,32,2
201212,33,5
201213,28,1
201214,23,2
201215,24,3
201216,27,3
201217,28,2
201218,25,2
201219,29,1
201220,31,1
201221,25,1
201222,26,
201223,22,
201224,28,1
201225,29,
201226,21,2
201227,19,1
201228,24,
201229,21,1
201230,25,1
201231,18,2
201232,22,
201233,19,2
201234,18,
201235,10,3
201236,15,3
201237,20,2
201238,20,2
201239,26,2
201240,30,3
201241,28,4
201242,29,6
201243,30,14
201244,25,25
201245,34,31
201246,23,25
201247,22,43
201248,43,50
201249,50,69
201250,31,36
201251,25,33
201252,36,36
201301,38,36
201302,34,14
201303,29,8
201304,30,9
201305,25,5
201306,35,2
201307,27,7
201308,31,6
201309,22,5
201310,16,1
201311,35,3
201312,32,4
201313,22,3
201314,26,
201315,23,1
201316,33,1
201317,20,
201318,28,
201319,34,
201320,31,3
201321,17,
201322,25,
201323,21,
201324,24,1
201325,22,
201326,14,
201327,15,
201328,21,1
201329,29,1
201330,19,
201331,20,1
201332,18,1
201333,23,
201334,16,1
201335,8,
201336,18,
201337,15,
201338,31,
201339,32,2
201340,45,
201341,38,2
201342,38,4
201343,26,5
201344,34,10
201345,37,17
201346,40,28
201347,29,46
201348,40,51
201349,39,52
201350,33,55
201351,47,52
201352,37,57
201401,38,59
201402,31,35
201403,16,13
201404,20,10
201405,26,12
201406,27,2
201407,27,6
201408,21,1
201409,27,1
201410,27,2
201411,21,1
201412,23,4
201413,25,1
201414,33,2
201415,35,2
201416,21,3
201417,20,
201418,18,
201419,20,1
201420,26,
201421,35,
201422,18,
201423,14,
201424,17,
201425,22,
201426,17,1
201427,18,1
201428,20,
201429,25,2
201430,14,
201431,16,1
201432,17,1
201433,18,
201434,12,1
201435,12,1
201436,11,
201437,21,
201438,21,1
201439,22,1
201440,20,
201441,21,4
201442,20,4
201443,25,7
201444,28,6
201445,37,18
201446,27,16
201447,54,32
201448,32,27
201449,41,49
201450,34,66
201451,55,49
201452,39,40
201501,43,26
201502,29,19
201503,18,7
201504,26,4
201505,34,5
201506,24,4
201507,20,7
201508,29,6
201509,31,4
201510,32,3
201511,40,1
201512,33,1
201513,33,
201514,19,2
201515,29,
201516,29,3
201517,20,2
201518,22,
201519,20,1
201520,23,1
201521,26,
201522,31,
201523,24,
201524,16,1
201525,24,
201526,28,
201527,24,1
201528,21,
201529,13,
201530,17,1
201531,23,
201532,18,
201533,29,
201534,8,
201535,22,
201536,10,
201537,22,1
201538,19,1
201539,25,1
201540,20,2
201541,20,1
201542,20,4
201543,35,10
201544,41,11
201545,25,19
201546,34,27
201547,45,50
201548,40,53
201549,53,65
201550,39,67
201551,41,43
201552,35,21
201553,43,32
201601,36,22
201602,24,8
201603,33,10
201604,34,9
201605,39,3
201606,38,4
201607,47,4
201608,30,3
201609,23,
201610,34,3
201611,25,1
201612,35,
201613,19,2
201614,33,1
201615,33,2
201616,30,
201617,29,
201618,25,1
201619,42,1
201620,40,
201621,36,
201622,41,1
201623,42,1
201624,27,1
201625,34,1
201626,41,
201627,29,2
201628,32,1
201629,30,1
201630,33,2
201631,30,4
201632,35,
201633,26,
201634,24,1
201635,23,3
201636,19,
201637,26,1
201638,20,3
201639,22,5
201640,18,4
201641,26,5
201642,24,10
201643,50,24
201644,28,23
201645,22,27
201646,31,38
201647,45,49
201648,31,52
201649,30,55
201650,30,42
201651,31,46
201652,39,30
201701,27,26
201702,19,17
201703,22,8
201704,29,4
201705,25,4
201706,35,1
201707,39,2
201708,35,3
201709,29,
201710,23,
201711,35,2
201712,33,
201713,21,
201714,39,1
201715,28,1
201716,21,3
201717,30,
201718,27,
201719,29,1
201720,34,
201721,30,
201722,29,1
201723,24,
201724,17,
201725,23,
201726,33,1
201727,21,
201728,12,
201729,18,1
201730,22,
201731,28,
201732,18,
201733,19,1
201734,13,1
201735,13,3
201736,14,
201737,19,
201738,22,1
201739,21,3
201740,19,6
201741,27,6
201742,20,8
201743,36,11
201744,25,24
201745,20,17
201746,35,41
201747,49,50
201748,43,50
201749,39,58
,,
age = 2 months old,,
D_WeekNo,N,P
200948,2,5
200949,3,14
200950,4,9
200951,6,12
200952,1,13
200953,10,4
201001,16,15
201002,17,8
201003,17,8
201004,8,10
201005,16,4
201006,22,3
201007,31,6
201008,20,2
201009,17,1
201010,13,2
201011,19,
201012,15,
201013,17,
201014,11,
201015,23,1
201016,15,
201017,15,1
201018,16,
201019,10,2
201020,25,
201021,19,
201022,19,
201023,8,
201024,9,
201025,6,
201026,5,
201027,9,
201028,16,
201029,14,
201030,15,
201031,16,
201032,14,
201033,7,1
201034,10,1
201035,4,
201036,12,
201037,11,2
201038,24,
201039,17,3
201040,18,
201041,10,1
201042,16,
201043,20,9
201044,13,11
201045,30,20
201046,20,19
201047,19,32
201048,26,28
201049,28,32
201050,39,36
201051,51,40
201052,64,47
201101,59,42
201102,43,20
201103,44,17
201104,35,27
201105,42,16
201106,33,19
201107,25,9
201108,27,7
201109,27,4
201110,19,4
201111,29,5
201112,30,4
201113,24,2
201114,23,4
201115,34,1
201116,25,3
201117,21,
201118,12,
201119,20,
201120,12,
201121,18,
201122,22,
201123,14,
201124,24,
201125,20,2
201126,11,
201127,15,
201128,14,
201129,18,1
201130,14,
201131,22,
201132,24,
201133,29,2
201134,9,1
201135,18,1
201136,19,
201137,7,1
201138,8,2
201139,9,
201140,6,
201141,2,
201142,15,2
201143,28,2
201144,19,2
201145,17,7
201146,13,14
201147,18,20
201148,24,21
201149,19,28
201150,16,37
201151,18,22
201152,17,37
201201,17,29
201202,14,21
201203,13,11
201204,14,11
201205,20,10
201206,26,9
201207,36,6
201208,34,8
201209,19,10
201210,26,2
201211,19,2
201212,12,3
201213,22,2
201214,11,
201215,23,2
201216,20,2
201217,13,1
201218,24,
201219,22,
201220,27,1
201221,16,
201222,16,
201223,18,
201224,17,
201225,12,1
201226,15,
201227,18,
201228,16,
201229,11,1
201230,12,1
201231,18,1
201232,16,1
201233,24,3
201234,7,
201235,7,
201236,12,1
201237,7,2
201238,12,
201239,13,2
201240,22,2
201241,23,3
201242,19,5
201243,18,7
201244,26,17
201245,21,20
201246,19,27
201247,24,35
201248,20,30
201249,26,37
201250,27,31
201251,23,27
201252,22,24
201301,30,22
201302,14,13
201303,10,6
201304,21,11
201305,22,2
201306,20,5
201307,20,5
201308,25,5
201309,22,3
201310,24,4
201311,22,1
201312,11,2
201313,21,1
201314,25,
201315,24,
201316,19,
201317,18,
201318,12,
201319,11,3
201320,25,1
201321,13,
201322,17,
201323,7,
201324,23,1
201325,21,
201326,14,
201327,16,
201328,13,
201329,12,1
201330,11,1
201331,18,
201332,15,
201333,10,
201334,13,
201335,15,
201336,11,
201337,21,
201338,17,
201339,21,
201340,17,1
201341,8,
201342,14,3
201343,17,3
201344,13,10
201345,18,17
201346,15,18
201347,29,23
201348,27,28
201349,21,39
201350,31,54
201351,27,31
201352,27,34
201401,22,30
201402,29,12
201403,16,8
201404,16,6
201405,17,6
201406,12,5
201407,16,3
201408,23,4
201409,23,3
201410,15,2
201411,14,
201412,16,2
201413,15,
201414,11,
201415,14,1
201416,15,
201417,19,
201418,10,
201419,16,
201420,17,1
201421,11,
201422,16,
201423,17,
201424,13,
201425,12,
201426,16,
201427,13,
201428,18,
201429,12,
201430,13,
201431,12,
201432,3,
201433,15,
201434,8,
201435,9,
201436,14,1
201437,11,
201438,16,
201439,19,
201440,16,1
201441,13,2
201442,19,1
201443,21,3
201444,20,3
201445,28,12
201446,20,19
201447,20,23
201448,41,20
201449,30,26
201450,31,35
201451,38,41
201452,33,26
201501,42,17
201502,30,15
201503,24,7
201504,26,6
201505,22,3
201506,19,5
201507,15,5
201508,23,3
201509,13,1
201510,22,1
201511,21,
201512,21,1
201513,23,
201514,17,
201515,21,1
201516,18,2
201517,20,1
201518,11,1
201519,18,
201520,21,
201521,14,
201522,16,1
201523,18,
201524,16,
201525,11,1
201526,17,
201527,11,
201528,13,
201529,16,
201530,13,
201531,10,1
201532,4,
201533,7,
201534,17,
201535,14,
201536,5,
201537,9,
201538,15,
201539,13,
201540,12,
201541,13,1
201542,25,3
201543,20,8
201544,11,13
201545,18,11
201546,24,18
201547,22,32
201548,26,44
201549,22,32
201550,31,36
201551,21,35
201552,30,16
201553,23,29
201601,37,19
201602,14,5
201603,24,7
201604,35,5
201605,23,2
201606,20,2
201607,27,
201608,19,3
201609,12,1
201610,16,3
201611,26,2
201612,19,1
201613,14,1
201614,23,
201615,22,
201616,15,
201617,12,
201618,11,2
201619,22,
201620,23,1
201621,18,
201622,21,
201623,21,
201624,12,
201625,22,
201626,19,1
201627,23,1
201628,28,
201629,22,
201630,21,1
201631,20,
201632,7,
201633,24,1
201634,26,1
201635,25,2
201636,10,1
201637,12,
201638,18,1
201639,17,
201640,25,7
201641,17,6
201642,18,5
201643,15,14
201644,26,9
201645,15,28
201646,25,31
201647,23,41
201648,29,40
201649,16,39
201650,23,32
201651,26,25
201652,18,23
201701,27,29
201702,16,7
201703,15,5
201704,26,5
201705,23,1
201706,24,3
201707,19,1
201708,17,
201709,22,1
201710,14,
201711,13,2
201712,16,1
201713,17,
201714,27,1
201715,15,
201716,9,
201717,14,
201718,11,1
201719,20,
201720,17,
201721,22,
201722,17,
201723,18,1
201724,10,
201725,14,1
201726,15,
201727,19,
201728,16,
201729,13,
201730,8,
201731,10,1
201732,11,1
201733,14,
201734,10,1
201735,11,1
201736,11,
201737,15,1
201738,11,1
201739,17,2
201740,21,3
201741,16,3
201742,17,5
201743,19,4
201744,18,11
201745,20,15
201746,22,20
201747,29,34
201748,20,39
201749,20,33
,,
age = 3 months,,
D_WeekNo,N,P
200948,5,5
200949,5,9
200950,4,5
200951,5,3
200952,5,4
200953,7,7
201001,11,15
201002,18,7
201003,14,12
201004,9,5
201005,12,4
201006,7,2
201007,12,
201008,24,1
201009,14,3
201010,10,2
201011,19,
201012,12,
201013,13,
201014,14,1
201015,20,
201016,16,
201017,10,
201018,11,
201019,19,
201020,20,
201021,17,
201022,13,
201023,5,
201024,9,
201025,12,1
201026,13,
201027,7,
201028,7,
201029,9,
201030,9,
201031,10,
201032,8,
201033,10,
201034,9,1
201035,4,
201036,10,
201037,8,
201038,14,
201039,15,1
201040,19,3
201041,14,2
201042,13,3
201043,25,3
201044,17,6
201045,12,12
201046,16,14
201047,20,10
201048,16,23
201049,18,14
201050,40,22
201051,40,34
201052,31,27
201101,52,31
201102,43,12
201103,38,15
201104,23,13
201105,19,13
201106,19,13
201107,30,5
201108,19,5
201109,23,5
201110,17,
201111,25,3
201112,19,2
201113,19,2
201114,18,2
201115,19,
201116,18,
201117,18,
201118,16,
201119,17,
201120,16,
201121,12,
201122,9,
201123,9,
201124,13,
201125,8,
201126,11,
201127,15,
201128,13,
201129,14,
201130,10,
201131,15,
201132,12,
201133,14,
201134,12,
201135,12,
201136,11,
201137,9,
201138,6,1
201139,5,1
201140,3,
201141,4,
201142,11,3
201143,8,5
201144,15,4
201145,17,4
201146,16,6
201147,17,10
201148,15,20
201149,12,12
201150,10,17
201151,15,20
201152,11,20
201201,11,19
201202,11,15
201203,14,5
201204,14,5
201205,15,6
201206,24,9
201207,24,6
201208,21,3
201209,15,
201210,17,3
201211,19,2
201212,12,1
201213,9,2
201214,10,1
201215,23,
201216,17,1
201217,13,2
201218,11,1
201219,9,
201220,18,
201221,10,
201222,14,
201223,10,
201224,9,
201225,15,
201226,7,1
201227,8,
201228,15,1
201229,9,
201230,6,
201231,10,
201232,6,1
201233,8,1
201234,7,1
201235,8,1
201236,7,
201237,14,
201238,12,2
201239,11,1
201240,9,1
201241,14,2
201242,9,2
201243,14,5
201244,10,15
201245,9,15
201246,22,22
201247,19,24
201248,18,27
201249,22,25
201250,11,19
201251,14,19
201252,16,19
201301,18,6
201302,12,9
201303,11,3
201304,15,5
201305,14,5
201306,17,4
201307,16,3
201308,20,2
201309,13,1
201310,15,1
201311,17,3
201312,18,2
201313,19,2
201314,9,5
201315,17,1
201316,10,
201317,10,
201318,8,1
201319,18,1
201320,7,
201321,12,
201322,16,
201323,15,1
201324,18,
201325,8,
201326,9,
201327,10,
201328,13,1
201329,8,1
201330,10,
201331,12,1
201332,11,
201333,12,
201334,5,1
201335,11,
201336,3,
201337,7,
201338,18,
201339,12,1
201340,12,
201341,14,1
201342,12,2
201343,17,4
201344,11,3
201345,13,8
201346,3,7
201347,14,14
201348,12,22
201349,17,30
201350,20,28
201351,19,28
201352,8,30
201401,14,16
201402,13,8
201403,14,5
201404,18,7
201405,9,2
201406,19,2
201407,12,2
201408,19,1
201409,13,2
201410,10,2
201411,15,1
201412,11,2
201413,14,2
201414,8,
201415,12,
201416,12,1
201417,16,
201418,9,
201419,6,
201420,12,
201421,8,
201422,14,1
201423,13,1
201424,4,
201425,8,
201426,11,
201427,14,
201428,16,
201429,12,
201430,10,
201431,6,
201432,6,
201433,6,
201434,3,
201435,8,
201436,5,
201437,11,
201438,9,1
201439,9,
201440,16,1
201441,7,1
201442,16,2
201443,12,1
201444,18,7
201445,13,10
201446,15,6
201447,15,14
201448,14,13
201449,11,11
201450,20,27
201451,14,14
201452,13,20
201501,26,15
201502,25,14
201503,12,11
201504,17,4
201505,18,4
201506,26,3
201507,13,1
201508,22,1
201509,10,2
201510,26,
201511,17,1
201512,18,3
201513,20,2
201514,14,
201515,22,
201516,9,
201517,16,
201518,6,
201519,9,1
201520,11,
201521,19,
201522,5,
201523,8,4
201524,10,
201525,10,1
201526,11,
201527,9,
201528,3,
201529,7,
201530,12,
201531,12,
201532,5,
201533,6,1
201534,8,
201535,5,
201536,6,1
201537,13,
201538,14,
201539,14,
201540,10,
201541,9,
201542,12,3
201543,14,5
201544,23,7
201545,17,12
201546,8,11
201547,22,20
201548,20,27
201549,16,26
201550,16,21
201551,19,23
201552,12,13
201553,13,9
201601,19,16
201602,12,5
201603,18,6
201604,12,3
201605,11,2
201606,23,
201607,21,
201608,14,1
201609,18,3
201610,12,
201611,22,
201612,14,1
201613,17,1
201614,16,2
201615,9,
201616,9,
201617,14,
201618,11,
201619,16,1
201620,9,1
201621,11,
201622,13,
201623,20,
201624,12,
201625,15,
201626,12,
201627,17,1
201628,22,
201629,13,1
201630,12,
201631,13,1
201632,12,1
201633,5,1
201634,10,
201635,14,
201636,7,
201637,16,
201638,6,1
201639,9,
201640,13,1
201641,11,2
201642,5,6
201643,20,7
201644,4,12
201645,12,14
201646,17,18
201647,18,19
201648,17,15
201649,15,19
201650,17,21
201651,17,21
201652,12,13
201701,20,10
201702,10,2
201703,15,2
201704,12,4
201705,18,2
201706,16,2
201707,17,3
201708,14,1
201709,13,
201710,8,
201711,11,
201712,9,
201713,10,1
201714,16,
201715,13,
201716,6,
201717,17,
201718,9,
201719,10,
201720,8,
201721,10,
201722,11,
201723,9,
201724,7,
201725,10,1
201726,4,2
201727,5,
201728,4,
201729,11,
201730,10,1
201731,11,1
201732,8,
201733,12,
201734,16,
201735,2,
201736,7,
201737,13,1
201738,10,1
201739,10,1
201740,18,3
201741,8,4
201742,12,3
201743,11,2
201744,9,8
201745,12,9
201746,14,12
201747,8,21
201748,27,27
201749,10,12
,,
age = 4 months,,
D_WeekNo,N,P
200948,,4
200949,2,6
200950,5,5
200951,1,6
200952,7,4
200953,3,6
201001,10,10
201002,12,6
201003,14,3
201004,13,2
201005,12,6
201006,13,2
201007,19,1
201008,8,1
201009,10,1
201010,14,1
201011,12,
201012,7,1
201013,15,
201014,13,
201015,8,
201016,15,
201017,9,
201018,9,
201019,27,1
201020,8,1
201021,8,
201022,16,
201023,9,
201024,12,2
201025,11,
201026,5,
201027,4,
201028,9,
201029,9,
201030,4,
201031,5,
201032,16,
201033,9,
201034,3,1
201035,3,
201036,14,
201037,19,
201038,12,
201039,9,
201040,19,
201041,10,1
201042,14,1
201043,10,2
201044,16,5
201045,11,3
201046,15,10
201047,10,10
201048,16,14
201049,23,21
201050,19,7
201051,22,27
201052,25,19
201101,39,16
201102,15,12
201103,27,21
201104,41,9
201105,20,5
201106,21,14
201107,27,5
201108,21,4
201109,20,6
201110,12,6
201111,21,2
201112,20,
201113,12,1
201114,13,
201115,16,3
201116,19,
201117,25,
201118,14,
201119,11,
201120,11,
201121,12,
201122,6,
201123,10,
201124,12,
201125,16,
201126,12,
201127,12,
201128,12,
201129,14,1
201130,9,
201131,8,
201132,8,
201133,11,
201134,11,
201135,5,
201136,9,
201137,2,1
201138,4,
201139,1,1
201140,2,1
201141,2,
201142,4,4
201143,9,3
201144,18,3
201145,16,3
201146,12,2
201147,6,12
201148,6,6
201149,16,14
201150,17,10
201151,3,16
201152,4,12
201201,6,17
201202,10,8
201203,6,9
201204,13,1
201205,17,11
201206,13,5
201207,14,4
201208,11,8
201209,13,3
201210,8,3
201211,11,2
201212,21,1
201213,21,2
201214,14,2
201215,10,
201216,10,1
201217,9,2
201218,7,
201219,10,
201220,14,
201221,11,1
201222,14,1
201223,2,
201224,11,
201225,8,
201226,8,1
201227,6,
201228,7,
201229,7,
201230,2,
201231,6,
201232,8,
201233,10,
201234,6,1
201235,8,
201236,5,1
201237,6,
201238,7,
201239,10,1
201240,8,
201241,9,
201242,12,7
201243,8,6
201244,9,14
201245,13,11
201246,4,13
201247,12,16
201248,9,19
201249,16,21
201250,9,18
201251,20,10
201252,9,13
201301,10,11
201302,11,8
201303,10,4
201304,14,1
201305,10,3
201306,10,3
201307,15,1
201308,9,
201309,14,2
201310,13,1
201311,17,1
201312,24,
201313,9,2
201314,16,
201315,17,
201316,10,
201317,8,
201318,9,1
201319,16,
201320,15,
201321,13,
201322,5,
201323,10,
201324,11,
201325,9,
201326,10,
201327,7,
201328,9,
201329,11,
201330,9,
201331,5,
201332,3,1
201333,6,
201334,13,
201335,7,
201336,6,
201337,7,
201338,9,
201339,8,1
201340,12,1
201341,13,2
201342,5,2
201343,17,
201344,13,3
201345,8,3
201346,7,7
201347,10,14
201348,14,21
201349,13,22
201350,17,19
201351,21,18
201352,13,13
201401,15,11
201402,11,6
201403,6,2
201404,9,1
201405,11,3
201406,18,3
201407,10,2
201408,7,
201409,10,
201410,8,2
201411,13,
201412,11,
201413,7,
201414,17,1
201415,22,1
201416,9,
201417,13,
201418,6,
201419,10,
201420,9,
201421,14,1
201422,10,
201423,10,
201424,10,
201425,2,1
201426,3,
201427,9,
201428,13,
201429,3,
201430,7,
201431,5,
201432,6,1
201433,5,
201434,6,
201435,5,
201436,2,
201437,8,
201438,3,
201439,8,
201440,8,2
201441,7,
201442,5,2
201443,7,
201444,12,3
201445,14,4
201446,12,3
201447,10,8
201448,17,14
201449,11,15
201450,21,17
201451,12,19
201452,14,15
201501,14,8
201502,9,3
201503,16,7
201504,16,2
201505,12,1
201506,13,
201507,8,4
201508,18,1
201509,13,
201510,14,1
201511,26,2
201512,13,
201513,15,
201514,14,
201515,11,
201516,8,
201517,15,
201518,13,1
201519,6,
201520,13,1
201521,14,1
201522,11,
201523,10,
201524,13,
201525,11,
201526,5,
201527,6,1
201528,7,
201529,7,
201530,11,
201531,6,
201532,13,
201533,7,
201534,7,
201535,5,
201536,5,
201537,8,
201538,11,
201539,3,
201540,10,
201541,10,
201542,12,
201543,15,5
201544,10,3
201545,16,2
201546,13,4
201547,19,16
201548,15,10
201549,16,18
201550,12,20
201551,16,16
201552,15,13
201553,19,16
201601,16,9
201602,18,2
201603,9,2
201604,20,2
201605,16,
201606,22,2
201607,19,1
201608,14,1
201609,9,1
201610,14,
201611,20,
201612,15,1
201613,12,
201614,17,1
201615,9,1
201616,10,
201617,8,1
201618,21,
201619,10,
201620,19,
201621,14,1
201622,13,
201623,13,
201624,12,
201625,12,
201626,18,3
201627,16,1
201628,8,1
201629,9,
201630,10,1
201631,15,1
201632,8,1
201633,8,2
201634,8,
201635,6,
201636,9,1
201637,4,
201638,13,
201639,11,
201640,12,2
201641,5,3
201642,12,3
201643,13,3
201644,14,10
201645,9,8
201646,8,17
201647,9,12
201648,12,16
201649,12,18
201650,11,15
201651,8,14
201652,10,8
201701,13,15
201702,16,2
201703,11,3
201704,7,2
201705,10,2
201706,11,
201707,13,
201708,11,2
201709,11,1
201710,11,
201711,7,1
201712,13,1
201713,12,1
201714,14,
201715,10,1
201716,5,
201717,12,
201718,6,
201719,11,2
201720,9,
201721,9,1
201722,15,
201723,10,
201724,7,
201725,6,
201726,9,
201727,6,
201728,7,
201729,11,
201730,7,
201731,10,
201732,8,
201733,5,
201734,3,
201735,10,
201736,11,1
201737,4,
201738,10,
201739,9,2
